source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc261,e383,2,-1,8,03465.txt,00383.txt,133,atlanta;games;silver;medalist;bao,p.m.;introduction;pan;asean;remarks
doc262,e349,2,-1,10,03416.txt,00349.txt,197,budweiser;ads;indians;american;ads,a.m.;united;copper;72;states
doc263,e349,2,-1,10,03528.txt,00349.txt,197,jobs;fell;data;dow;release,a.m.;united;copper;72;states
doc264,e349,2,-1,10,02538.txt,00349.txt,197,fell;jones;stock;market;dow,a.m.;united;copper;72;states
doc265,e349,2,-1,10,01251.txt,00349.txt,133,partin;partin;production;war;mr.,p.m.;introduction;pan;asean;remarks
doc266,e349,2,-1,10,00527.txt,00349.txt,197,rose;million;cents;after-tax;australia,a.m.;united;copper;72;states
doc267,e349,2,-1,10,00066.txt,00349.txt,172,'victorina''s;family;court;business;victorina',st.;credit;box;battle;mountain
doc268,e349,2,-1,10,02382.txt,00349.txt,197,bioterrorism.;food;supply;threats;publication,a.m.;united;copper;72;states
doc269,e780,2,-1,9,02905.txt,00780.txt,133,school;choice;sankey;education;mr.,p.m.;introduction;pan;asean;remarks
doc27,e13,2,-1,0,01410.txt,00013.txt,172,comment.;yield;points;notes;sold,st.;credit;box;battle;mountain
doc270,e780,2,-1,9,01613.txt,00780.txt,133,hong;honduran;immigration;kong;u.s.,p.m.;introduction;pan;asean;remarks
doc271,e780,2,-1,9,02175.txt,00780.txt,197,somalia;white;house;u.n.;mr.,a.m.;united;copper;72;states
doc272,e780,2,-1,9,02705.txt,00780.txt,4,said;cents;2011;pesos.;argentine,u.s.;oil;iraqi;iraq;argentine
doc273,e780,2,-1,9,01334.txt,00780.txt,172,life;stock;american;stock.;conseco,st.;credit;box;battle;mountain
doc274,e349,2,-1,10,01522.txt,00349.txt,172,mcdonnell;said;douglas;contract;china,st.;credit;box;battle;mountain
doc275,e349,2,-1,10,04220.txt,00349.txt,169,nail;debates;presidential;debate;mr.,blue;mfs;ladonna;juvenile;mose
doc276,e349,2,-1,10,01277.txt,00349.txt,133,vw;said;vanesa;commission;saxony,p.m.;introduction;pan;asean;remarks
doc277,e349,2,-1,10,00199.txt,00349.txt,197,shares;index;jones;dow;amid,a.m.;united;copper;72;states
doc278,e349,2,-1,10,02413.txt,00349.txt,172,activities;basf;leather;business;textile,st.;credit;box;battle;mountain
doc279,e349,2,-1,10,04175.txt,00349.txt,169,girls;boys;says;mr.;clubs,blue;mfs;ladonna;juvenile;mose
doc28,e13,2,-1,0,01315.txt,00013.txt,10,satellite;new;cable;rates;fcc,cable;dealers;nasdaq;printer;tax
doc280,e780,2,-1,9,02993.txt,00780.txt,172,realty;ltd.;ge;company.;capital,st.;credit;box;battle;mountain
doc281,e780,2,-1,9,03810.txt,00780.txt,133,'open;lytham;golf;round;would''ve',p.m.;introduction;pan;asean;remarks
doc282,e780,2,-1,9,04091.txt,00780.txt,133,new;medical;said;advanced;mr.,p.m.;introduction;pan;asean;remarks
doc283,e780,2,-1,9,04411.txt,00780.txt,133,child;said;authorities;aol;officials,p.m.;introduction;pan;asean;remarks
doc284,e325,2,-1,11,02520.txt,00325.txt,7,home;building;florida;study;homes,fell;homes;construction;home;building
doc285,e325,2,-1,11,01466.txt,00325.txt,45,cents;said;quarter;delta;mile,family;ife;vastcomm;true;comsat
doc286,e349,2,-1,10,02931.txt,00349.txt,172,million;said;salz;kali;basf,st.;credit;box;battle;mountain
doc287,e325,2,-1,11,00928.txt,00325.txt,172,boycott;conditions;parties;bosnia;friday,st.;credit;box;battle;mountain
doc288,e325,2,-1,11,01688.txt,00325.txt,197,victory;chantal;spadea;game;broke,a.m.;united;copper;72;states
doc289,e325,2,-1,11,04194.txt,00325.txt,172,mills;line;cereal;betty;general,st.;credit;box;battle;mountain
doc29,e13,2,-1,0,03995.txt,00013.txt,23,traders;said;rates;dollar;u.s.,satellite;inflation;bank;cut;industry
doc290,e325,2,-1,11,03357.txt,00325.txt,197,stated;wicker;said;individual;like,a.m.;united;copper;72;states
doc291,e349,2,-1,10,00070.txt,00349.txt,12,shares;index;fell;jones;dow,shares;prices;rose;index;market
doc292,e349,2,-1,10,02685.txt,00349.txt,133,'new;pilots;contract;american;american''s',p.m.;introduction;pan;asean;remarks
doc293,e349,2,-1,10,03436.txt,00349.txt,172,president;million;medical;ivac;advanced,st.;credit;box;battle;mountain
doc294,e349,2,-1,10,04088.txt,00349.txt,4,halloran;amsouth;brokerage;securities;mr.,closed-end;fund;buy;mr.;mutual
doc295,e325,2,-1,11,01591.txt,00325.txt,2,labor;time;deal;players;mr.,home;tax;exclusion;plan;current
doc296,e325,2,-1,11,03776.txt,00325.txt,7,said;said.;service;chicago;owners,chicago;web;direct;just;new
doc297,e325,2,-1,11,00403.txt,00325.txt,4,practices;said;amsouth;nasd;brokerage,closed-end;fund;buy;mr.;mutual
doc298,e325,2,-1,11,04282.txt,00325.txt,197,president;jones;stock;dow;stocks,a.m.;united;copper;72;states
doc299,e325,2,-1,11,02293.txt,00325.txt,7,rose;yield;cds;five-year;average,fell;homes;construction;home;building
doc3,e13,2,-1,0,04173.txt,00013.txt,169,going;waldo;i;pitches;barnette,blue;mfs;ladonna;juvenile;mose
doc30,e13,2,-1,0,01068.txt,00013.txt,169,tax;codi;proposal;house;people,blue;mfs;ladonna;juvenile;mose
doc300,e325,2,-1,11,03198.txt,00325.txt,169,said;republican;ms.;\;mr.,blue;mfs;ladonna;juvenile;mose
doc301,e325,2,-1,11,02191.txt,00325.txt,45,'cents;company''s;said;sales;company',family;ife;vastcomm;true;comsat
doc302,e325,2,-1,11,03836.txt,00325.txt,197,index;market;stock;prices;dow,a.m.;united;copper;72;states
doc303,e325,2,-1,11,00721.txt,00325.txt,197,stanley;old;warehouse.;noted;chief,a.m.;united;copper;72;states
doc304,e325,2,-1,11,02358.txt,00325.txt,45,earnings;stock;sunglass;company;mr.,family;ife;vastcomm;true;comsat
doc305,e325,2,-1,11,01923.txt,00325.txt,169,webber;president;said;codi;mr.,blue;mfs;ladonna;juvenile;mose
doc306,e325,2,-1,11,02232.txt,00325.txt,5,plant;gas;bp;said;natural,gas;pipeline;british;energy;price
doc307,e349,2,-1,10,03258.txt,00349.txt,169,documents;raymer;meeting;brown;mr.,blue;mfs;ladonna;juvenile;mose
doc308,e349,2,-1,10,00966.txt,00349.txt,197,people;moreover;individual;oppressed;2011,a.m.;united;copper;72;states
